Count of Player,Column Labels,,,,,,,
Row Labels,Catcher,First Baseman,Outfielder,Pitcher,Second Baseman,Shortstop,Third Baseman,Grand Total
Anaheim Angels,3,2,5,13,1,2,1,27
Baltimore Orioles,2,3,5,14,,3,2,29
Boston Red Sox,2,2,4,14,1,2,2,27
Chicago White Sox,3,3,5,12,1,1,1,26
Cleveland Indians,2,2,5,16,1,4,1,31
Detroit Tigers,2,1,4,13,1,2,3,26
Kansas City Royals,2,2,6,11,1,3,1,26
Minnesota Twins,3,1,5,12,2,2,1,26
New York Yankees,2,2,5,14,1,2,2,28
Oakland Athletics,3,1,5,12,1,2,2,26
Seattle Mariners,3,4,4,11,3,1,1,27
Tampa Bay Devil Rays,2,1,4,12,3,1,2,25
Texas Rangers,3,1,6,13,1,2,4,30
Toronto Blue Jays ,4,2,3,13,1,3,1,27
Grand Total,36,27,66,180,18,30,24,381
